Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	24	8	3
1	44	34	24
2	7	13	3
3	3	13	3
4	11	3	3
5	15	7	3
6	7	15	3
7	18	28	8
8	21	31	11
9	39	31	19
10	7	15	3
11	14	7	3
12	13	3	3
13	63	7	3
14	59	49	39
15	13	3	3
16	3	13	3
17	7	63	3
18	45	55	35
19	27	31	3
20	23	13	3
21	15	7	3
22	70	65	3
23	33	43	23
24	33	7	3
25	3	13	3
26	8	16	3
27	28	18	8
28	19	29	9
29	16	7	3
30	15	7	3
31	16	8	3
32	32	22	12
33	3	31	3
34	7	13	3
35	13	3	3
36	39	49	29
37	13	23	3
38	15	23	3
39	3	13	3
40	16	7	3
41	16	8	3
42	13	3	3
43	21	11	3
44	35	25	3
45	31	3	3
46	13	3	3
47	13	3	3
48	33	25	3
49	56	50	3
50	24	32	12
51	7	14	3
52	8	16	3
53	45	55	35
54	13	3	3
55	3	13	3
56	13	3	3
57	8	16	3
58	8	14	3
59	7	34	3
60	13	7	3
61	26	34	16
62	38	30	18
63	8	16	3
64	22	32	12
65	7	56	3
66	15	7	3
67	15	23	3
68	3	13	3
69	8	32	3
70	23	13	3
71	54	7	3
72	54	7	3
73	13	3	3
74	7	13	3
75	16	8	3
76	8	16	3
77	62	54	42
78	13	3	3
79	3	13	3
80	3	13	3
81	23	14	4
82	7	15	3
83	3	13	3
84	7	13	3
85	14	8	3
86	27	34	3
87	15	7	3
88	19	11	3
89	53	3	3
90	13	7	3
91	16	8	3
92	7	34	3
93	7	13	3
94	7	13	3
95	3	13	3
96	13	3	3
97	29	35	3
98	14	7	3
99	14	8	3
100	7	13	3
101	3	13	3
102	34	28	3
103	3	31	3
104	7	13	3
105	16	8	3
106	9	19	3
107	36	44	26
108	16	8	3
109	7	15	3
110	8	34	3
111	34	26	3
112	14	8	3
113	31	3	3
114	8	14	3
115	8	14	3
116	34	8	3
117	16	8	3
118	15	7	3
119	3	13	3
120	7	14	3
121	3	31	3
122	3	13	3
123	66	8	3
124	45	35	25
125	14	8	3
126	3	13	3
127	36	26	3
128	3	13	3
129	54	64	3
130	13	3	3
131	19	29	9
132	14	10	3
133	19	9	3
134	19	9	3
135	60	56	3
136	30	40	20
137	15	7	3
138	31	21	11
139	13	3	3
140	21	31	11
141	25	17	5
142	7	13	3
143	3	13	3
144	13	7	3
145	15	7	3
146	20	10	3
147	27	32	3
148	18	8	3
149	27	17	7
150	3	31	3
151	8	14	3
152	60	64	3
153	7	15	3
154	8	16	3
155	33	23	13
156	65	7	3
157	13	7	3
158	15	7	3
159	54	64	3
160	43	53	33
161	63	3	3
162	16	8	3
163	8	14	3
164	31	27	3
165	7	17	3
166	3	13	3
167	16	8	3
168	13	3	3
169	3	13	3
170	14	8	3
171	15	7	3
172	61	51	41
173	8	14	3
174	15	7	3
175	27	17	7
176	13	3	3
177	8	16	3
178	25	31	3
179	20	12	3
180	21	11	3
181	7	14	3
182	13	3	3
183	34	44	24
184	15	7	3
185	13	3	3
186	48	56	36
187	21	11	3
188	14	8	3
189	14	8	3
190	8	16	3
191	15	7	3
192	19	9	3
193	7	14	3
194	15	7	3
195	3	54	3
196	3	13	3
197	16	8	3
198	18	8	3
199	25	15	5
200	8	34	3
201	51	41	31
202	14	7	3
203	3	13	3
204	30	3	3
205	7	13	3
206	7	14	3
207	3	67	3
208	33	29	3
209	29	34	3
210	16	8	3
211	8	16	3
212	8	64	3
213	14	8	3
214	33	43	23
215	25	33	3
216	23	33	13
217	23	13	3
218	3	13	3
219	7	15	3
220	3	13	3
221	13	3	3
222	22	12	3
223	65	7	3
224	8	16	3
225	14	7	3
226	39	29	19
227	7	14	3
228	32	40	22
229	32	40	20
230	3	13	3
231	15	7	3
232	33	23	3
233	27	34	3
234	15	7	3
235	14	7	3
236	8	16	3
237	26	36	3
238	7	13	3
239	3	13	3
240	8	16	3
241	26	36	3
242	7	15	3
243	8	16	3
244	13	3	3
245	18	28	8
246	7	13	3
247	16	8	3
248	13	7	3
249	17	9	3
250	8	16	3
251	7	32	3
