Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	3	3	128
1	42	34	24
2	13	25	3
3	8	28	3
4	16	8	3
5	8	36	3
6	21	29	11
7	23	33	3
8	13	7	3
9	45	51	3
10	23	13	3
11	38	28	20
12	33	11	3
13	50	60	20
14	12	22	3
15	60	54	3
16	15	25	3
17	22	32	12
18	56	50	3
19	281	8	3
20	45	37	3
21	13	3	3
22	43	49	3
23	18	28	8
24	21	31	3
25	3	13	3
26	39	15	3
27	115	55	3
28	50	13	3
29	19	9	3
30	16	7	3
31	24	80	14
32	31	41	3
33	49	44	3
34	82	92	3
35	7	23	3
36	51	45	3
37	8	16	3
38	47	40	3
39	21	11	3
40	13	3	3
41	50	60	3
42	17	27	9
43	83	93	3
44	35	3	3
45	42	32	3
46	3	21	3
47	29	39	3
48	21	31	11
49	46	40	3
50	11	21	3
51	3	13	3
52	7	62	3
53	41	31	3
54	29	39	3
55	39	49	3
56	7	50	3
57	51	8	3
58	35	45	3
59	48	3	3
60	41	22	3
61	15	7	3
62	15	7	3
63	19	29	10
64	68	58	27
65	29	19	11
66	23	13	3
67	43	49	3
68	8	90	3
69	64	54	3
70	99	103	3
71	29	37	3
72	22	32	3
73	21	11	3
74	41	47	3
75	50	56	3
76	60	50	19
77	18	28	8
78	3	13	3
79	7	50	3
80	14	8	3
81	25	15	3
82	120	7	3
83	15	7	3
84	28	38	3
85	127	65	3
86	7	40	3
87	27	18	3
88	15	7	3
89	19	8	3
90	30	40	3
91	19	9	3
92	55	48	3
93	7	14	3
94	32	8	3
95	15	7	3
96	30	20	3
97	49	43	3
98	33	24	14
99	31	41	3
100	45	39	3
101	45	51	3
102	8	30	3
103	16	8	3
104	47	39	8
105	35	43	3
106	3	27	3
107	15	7	3
108	139	18	8
109	26	16	8
110	7	50	3
111	15	7	3
112	49	42	3
113	3	96	3
114	15	7	3
115	45	39	3
116	8	16	3
117	20	30	10
118	30	40	3
119	7	71	3
120	30	20	12
121	48	3	3
122	7	67	3
123	31	21	11
124	18	10	3
125	7	16	3
126	40	45	3
127	50	7	3
128	77	44	3
129	7	50	3
130	14	8	3
131	3	34	40
132	34	38	3
133	37	43	29
134	27	17	3
135	90	100	3
136	26	36	3
137	23	8	3
138	47	42	3
139	23	13	5
140	33	43	3
141	31	21	3
142	41	35	3
143	53	64	24
144	39	3	3
145	29	39	46
146	70	60	29
147	43	13	3
148	3	13	3
149	50	7	3
150	16	8	3
151	13	75	3
152	103	97	3
153	5	53	43
154	7	14	3
155	44	52	3
156	99	7	3
157	15	7	3
158	70	86	76
159	90	82	3
160	45	35	3
161	45	35	3
162	91	97	3
163	7	30	3
164	29	39	3
165	44	50	3
166	52	44	3
167	8	49	3
168	44	50	3
169	68	58	50
170	42	52	3
171	19	9	3
172	37	47	3
173	17	150	3
174	61	51	20
175	16	8	3
176	3	13	3
177	34	26	3
178	57	49	18
179	3	48	3
180	50	7	3
181	30	34	3
182	43	33	3
183	83	73	3
184	9	19	3
185	7	16	3
186	41	209	3
187	43	33	3
188	13	3	3
189	15	7	3
190	38	28	3
191	40	30	3
192	45	51	3
193	31	21	12
194	28	36	3
195	8	14	3
196	52	7	3
197	41	51	12
198	34	24	3
199	28	20	10
200	31	21	13
201	87	94	3
202	13	3	3
203	36	3	3
204	16	8	3
205	24	31	3
206	43	38	3
207	75	17	3
208	48	3	3
209	20	10	3
210	70	80	3
211	29	39	3
212	3	13	3
213	34	24	3
214	7	15	3
215	8	51	3
216	13	7	3
217	13	3	3
218	3	13	3
219	13	3	3
220	7	17	3
221	47	41	3
222	7	44	39
223	22	32	38
224	50	7	3
225	67	57	3
226	9	19	3
227	3	48	3
228	13	3	3
229	33	18	25
230	8	14	3
231	21	31	11
232	36	26	3
233	81	91	3
234	87	93	3
235	42	48	3
236	131	65	3
237	7	120	3
238	55	65	3
239	10	20	3
240	3	21	3
241	79	69	39
242	17	27	9
243	31	21	13
244	25	33	3
245	7	14	3
246	7	14	3
247	7	15	3
248	13	3	3
249	46	53	3
250	13	23	5
251	8	18	3
252	16	8	3
253	93	99	3
254	8	16	3
255	25	35	3
256	35	8	3
257	15	7	3
258	99	7	3
259	16	8	3
260	17	7	23
261	3	48	3
262	13	3	3
263	3	48	3
264	3	13	3
265	34	28	3
266	33	43	50
267	43	37	3
268	8	16	3
269	23	32	3
270	16	8	3
271	7	15	3
272	43	15	3
273	20	29	10
274	32	93	23
275	24	14	4
276	31	21	13
277	28	18	8
278	3	19	9
279	66	56	25
280	47	57	16
281	7	50	3
282	42	50	3
283	25	17	7
284	3	13	3
285	8	18	3
286	11	21	3
287	49	7	3
288	15	138	5
289	71	53	3
290	3	98	3
291	41	31	3
292	13	3	3
293	45	35	3
294	47	26	3
295	7	15	3
296	25	15	7
297	91	81	3
298	21	31	13
299	93	97	3
300	61	67	3
301	7	13	3
302	66	56	3
303	41	45	3
304	51	8	3
305	17	27	7
306	22	30	3
307	97	101	3
308	63	72	33
309	13	3	3
310	37	27	3
311	23	13	5
312	13	167	5
313	13	21	3
314	13	7	3
315	7	14	3
316	3	13	3
317	75	15	5
318	7	50	3
319	91	97	3
320	13	7	3
321	21	11	3
322	39	49	3
323	51	63	22
324	51	32	3
325	78	68	37
326	67	7	3
327	23	31	3
328	41	47	3
329	47	40	3
330	21	31	3
331	11	21	3
332	17	9	3
333	16	8	3
334	97	105	3
335	36	26	3
336	8	51	3
337	3	34	3
338	41	16	3
339	50	56	3
340	16	8	3
341	79	13	3
342	47	41	3
343	62	52	3
344	3	13	3
345	21	11	3
346	54	46	3
347	13	3	3
348	17	27	8
349	17	81	7
350	50	7	3
351	39	29	3
352	13	3	3
353	46	56	3
354	62	72	33
355	71	81	40
356	17	27	3
357	13	23	5
358	11	21	3
359	7	15	3
360	121	61	3
361	27	15	3
362	19	9	3
363	70	60	30
364	36	7	3
365	39	45	3
366	26	36	3
367	17	27	9
368	23	13	5
369	16	8	3
370	128	3	3
371	35	101	25
372	3	19	9
373	19	29	3
374	52	3	3
375	16	8	3
376	64	64	24
377	42	46	3
378	51	8	3
379	53	8	3
380	7	283	3
381	17	27	9
382	13	3	3
383	45	41	3
384	29	39	3
385	16	8	3
386	23	13	3
387	48	3	3
388	80	88	3
389	88	78	3
390	42	32	3
391	11	21	3
392	16	26	8
393	15	7	3
394	41	47	3
395	65	7	3
396	50	44	3
397	58	7	3
398	21	11	3
399	3	34	3
400	17	7	3
401	13	3	3
402	56	66	25
403	13	23	3
404	15	25	5
405	41	47	3
406	7	15	3
407	7	52	3
408	69	9	3
409	64	54	46
410	77	65	37
411	7	18	3
412	50	219	3
413	41	50	3
414	43	35	3
415	3	13	3
416	16	8	3
417	31	21	13
418	36	7	3
419	37	313	29
420	14	8	3
421	16	26	8
422	3	48	3
423	51	37	43
424	3	48	3
425	7	15	3
426	46	36	3
427	25	15	7
428	82	92	3
429	42	36	26
430	8	23	3
431	99	105	3
432	7	15	3
433	57	47	18
434	7	15	3
435	39	15	3
436	17	27	7
437	13	3	3
438	52	46	3
439	32	40	22
440	15	7	3
441	80	17	7
442	17	27	3
443	43	35	3
444	49	39	3
445	9	19	3
446	13	3	3
447	39	43	3
448	105	39	31
449	26	36	3
450	36	8	3
451	5	13	19
452	60	70	32
