Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	435	990	516
1	780	284	2934
2	133	682	1234
3	587	48	663
4	346	895	3529
5	68	666	2287
6	640	160	4924
7	354	910	432
8	423	979	499
9	133	685	2312
10	975	496	2119
11	872	397	3081
12	702	213	3937
13	171	771	2392
14	698	273	2865
15	29	578	3260
16	138	706	213
17	290	842	1416
18	7	555	1175
19	267	823	4535
20	697	183	772
21	831	346	1976
22	457	1010	532
23	157	704	3381
24	848	368	986
25	927	451	2064
26	941	462	3
27	318	869	2492
28	713	235	792
29	80	637	155
30	545	69	622
31	490	11	568
32	61	613	5362
33	925	446	4167
34	414	966	489
35	711	232	787
36	9	564	84
37	634	159	2842
38	474	1031	606
39	391	999	531
40	492	964	1506
41	375	294	2559
42	1007	477	2094
43	637	157	712
44	559	72	635
45	632	121	1708
46	250	808	326
47	449	1007	527
48	150	707	227
49	918	439	3
50	153	705	228
51	277	876	2499
52	104	653	2271
53	288	834	1443
54	333	888	408
55	523	38	599
56	638	155	715
57	508	29	586
58	93	645	169
59	822	346	960
60	402	953	5686
61	181	731	256
62	1036	551	1113
63	628	153	704
64	995	512	39
65	170	724	246
66	700	213	776
67	788	307	1926
68	529	44	3701
69	300	897	2517
70	50	595	1142
71	305	881	381
72	862	384	939
73	651	177	1787
74	880	400	955
75	1011	535	3168
76	487	1042	564
77	1024	520	1099
78	292	901	3551
79	173	727	249
80	928	449	4169
81	994	514	35
82	135	736	2355
83	934	459	2083
84	142	698	220
85	145	748	2372
86	999	521	44
87	929	401	1004
88	730	256	861
89	468	1022	544
90	417	968	2597
91	387	958	463
92	8	562	84
93	125	680	202
94	919	421	3
95	301	861	2479
96	130	710	208
97	950	465	3
98	770	283	2927
99	164	715	2344
100	871	397	2014
101	393	1252	527
102	638	161	714
103	508	25	1655
104	365	918	1487
105	125	678	200
106	393	949	471
107	312	868	389
108	998	511	1074
109	552	74	1644
110	1021	538	2158
111	489	1035	4751
112	533	35	2694
113	893	414	2033
114	151	702	3343
115	659	183	2863
116	531	55	607
117	284	834	360
118	975	492	3129
119	154	710	232
120	915	437	3
121	992	514	38
122	571	93	648
123	853	372	3
124	1003	512	44
125	548	57	2706
126	550	71	2725
127	825	350	963
128	856	367	4080
129	43	598	120
130	715	235	2947
131	318	871	1422
132	374	970	1519
133	102	709	1262
134	956	468	3135
135	353	906	4618
136	333	935	467
137	100	655	1207
138	698	219	2865
139	968	481	1044
140	724	245	857
141	719	189	2882
142	112	666	190
143	447	1049	2655
144	885	410	2028
145	155	703	2328
146	569	93	644
147	769	230	2925
148	911	431	3
149	980	503	23
150	993	513	2087
151	734	252	809
152	722	237	1860
153	939	464	3
154	523	46	1674
155	82	636	158
156	640	151	2794
157	513	24	588
158	121	674	196
159	432	979	3663
160	974	495	29
161	211	767	289
162	254	804	330
163	947	467	3
164	7	555	4286
165	46	648	180
166	342	898	418
167	584	99	661
168	78	634	156
169	57	659	1211
170	412	964	4625
171	14	568	90
172	95	647	2276
173	717	235	851
174	410	960	2589
175	140	695	217
176	355	957	489
177	414	971	491
178	450	1004	3651
179	656	179	734
180	260	817	337
181	728	241	805
182	920	439	3
183	170	725	247
184	264	819	339
185	296	891	425
186	1028	553	1104
187	449	1005	527
188	43	598	118
189	56	604	3240
190	954	475	6
191	812	333	935
192	312	917	449
193	561	74	2729
194	578	98	653
195	844	365	920
196	710	221	2869
197	970	490	11
198	659	121	1751
199	907	428	3
200	859	372	3071
201	535	55	610
202	461	1067	599
203	985	506	2143
204	835	358	3040
205	151	704	226
206	595	110	671
207	154	750	1301
208	54	581	129
209	606	74	682
210	974	484	18
211	253	808	330
212	523	46	601
213	649	173	724
214	814	337	1907
215	490	1041	4760
216	144	696	2319
217	200	805	337
218	760	280	835
219	670	172	1822
220	880	404	955
221	913	434	3
222	819	340	895
223	627	148	703
224	70	617	1205
225	857	378	2011
226	1026	547	67
227	591	93	2750
228	372	930	450
229	333	886	408
230	268	779	735
231	335	849	802
232	930	450	3
233	640	165	716
234	456	1014	534
235	401	955	477
236	843	363	920
237	831	351	4074
238	911	424	2066
239	646	166	721
240	818	339	958
241	951	464	3
242	173	731	251
243	557	70	2771
244	73	625	3319
245	872	385	948
246	552	18	627
247	727	247	1881
248	836	299	2998
249	786	312	864
250	362	962	494
251	585	100	1734
252	945	466	3
253	200	805	3463
254	230	785	305
255	468	1018	544
256	805	326	2977
257	737	258	813
258	1059	581	113
259	1071	593	127
260	350	902	2527
261	911	432	3
262	778	291	854
263	406	1008	540
264	502	1054	577
265	192	789	321
266	233	789	311
267	951	475	3
268	633	157	708
269	640	161	776
270	269	875	409
271	1005	528	2148
272	865	388	3034
273	764	275	1915
274	1028	490	2111
275	1033	548	67
276	112	711	1264
277	861	380	1001
278	758	271	3941
279	128	686	206
280	536	57	2701
281	435	1036	2661
282	121	971	198
283	472	1029	547
284	419	975	495
285	248	408	262
286	859	372	3024
287	296	852	373
288	205	759	281
289	118	673	195
290	74	630	150
291	859	379	934
292	1042	561	95
293	884	405	962
294	92	646	4360
295	42	589	171
296	464	1022	542
297	665	183	4898
298	920	441	3
299	818	338	4057
300	343	895	418
301	276	878	2501
302	741	262	817
303	385	940	462
304	311	865	386
305	91	644	5402
306	989	511	2141
307	527	46	1663
308	311	866	388
309	464	1013	3649
310	899	418	2018
311	873	393	950
312	140	693	217
313	775	256	851
314	3	552	3184
315	76	630	154
316	488	7	623
317	281	831	3508
318	45	673	120
319	311	909	443
320	597	101	1748
321	745	258	1884
322	333	895	3583
323	124	673	2287
324	240	798	1350
325	645	157	3881
326	951	471	3
327	133	685	3323
328	236	836	370
329	5	554	2166
330	415	974	493
331	586	104	661
332	250	801	2426
333	560	28	2723
334	37	588	2216
335	326	931	2543
336	79	637	157
337	820	338	956
338	331	886	406
339	172	729	249
340	56	657	2265
341	402	977	559
342	363	917	440
343	589	114	1738
344	855	376	931
345	646	165	780
346	342	891	3577
347	985	506	1118
348	408	971	486
349	891	353	4080
350	529	49	2709
351	425	981	502
352	1022	535	65
353	728	247	1877
354	881	381	3056
355	406	955	2569
356	553	72	629
357	998	522	44
358	597	119	2773
359	593	105	669
360	783	303	2948
361	1082	588	1158
362	820	339	4052
363	142	696	217
364	47	595	2207
365	1042	565	151
366	434	987	3679
367	336	947	2520
368	408	964	484
369	266	815	2426
370	378	930	454
371	232	830	360
372	677	187	1764
373	370	928	446
374	647	114	2822
375	976	480	3
376	436	990	511
377	28	576	3274
378	82	634	160
379	797	307	873
380	717	187	2882
381	339	896	416
382	936	457	5194
383	691	206	2856
