Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	1012	546	53
1	638	174	1772
2	555	89	1689
3	831	363	1963
4	350	826	375
5	110	689	187
6	898	432	2032
7	936	470	1016
8	714	252	1846
9	530	63	608
10	912	445	3
11	298	876	1433
12	527	59	1661
13	878	412	2012
14	84	662	1217
15	354	936	1488
16	40	585	105
17	232	810	310
18	915	453	5182
19	1041	573	2175
20	561	93	1693
21	331	911	409
22	977	509	16
23	482	14	562
24	819	351	899
25	961	495	2093
26	972	505	15
27	110	690	190
28	840	374	1974
29	605	138	683
30	44	620	124
31	138	719	1272
32	524	58	602
33	378	958	458
34	230	808	310
35	827	359	907
36	303	882	1436
37	211	790	290
38	563	96	641
39	108	688	186
40	129	707	1264
41	565	99	1699
42	397	977	475
43	187	765	265
44	660	192	738
45	630	164	1764
46	293	875	372
47	399	979	477
48	765	299	845
49	228	807	1361
50	803	337	1938
51	795	327	1929
52	495	21	579
53	593	125	672
54	886	419	966
55	880	414	2014
56	473	7	551
57	262	841	1395
58	260	841	1395
59	659	191	737
60	105	683	1238
61	510	85	1642
62	713	247	1847
63	101	681	1233
64	530	63	608
65	676	207	1807
66	211	789	291
67	412	992	492
68	207	786	1340
69	119	699	1254
70	108	689	1243
71	153	733	231
72	823	349	903
73	792	325	1927
74	963	496	1041
75	273	851	1425
76	814	348	894
77	421	1006	1556
78	885	419	3065
79	747	352	1881
80	933	466	1013
81	854	390	3030
82	347	925	1480
83	859	391	1991
84	475	8	1610
85	939	576	3
86	446	1024	522
87	509	43	2031
88	358	936	434
89	487	20	565
90	61	639	139
91	683	105	697
92	202	781	1337
93	732	266	810
94	464	1043	1588
95	54	625	1182
96	1000	534	2134
97	123	703	203
98	10	589	89
99	397	976	474
100	634	166	712
101	381	960	461
102	886	420	964
103	337	917	417
104	178	754	256
105	898	432	3
106	10	585	1143
107	23	603	101
108	378	957	1511
109	623	157	703
110	709	243	789
111	764	297	1895
112	597	130	1728
113	788	321	870
114	26	606	104
115	586	117	1717
116	667	200	1798
117	183	762	1318
118	700	234	780
119	46	624	1180
120	856	388	1990
121	493	25	572
122	198	778	278
123	564	98	643
124	224	804	302
125	616	147	1749
126	270	848	1405
127	213	791	291
128	86	666	164
129	260	840	340
130	875	408	2006
131	171	750	2347
132	970	504	2105
133	638	171	716
134	1026	559	1104
135	548	82	626
136	525	59	1659
137	237	817	315
138	713	247	793
139	612	144	1755
140	549	81	628
141	1035	567	76
142	1048	582	91
143	115	696	1250
144	563	95	1697
145	138	719	1275
146	674	207	1807
147	761	293	1895
148	417	997	495
149	979	511	1059
150	354	932	1489
151	797	329	875
152	195	775	1330
153	1032	564	1110
154	56	635	1189
155	251	831	331
156	172	752	250
157	576	108	654
158	395	974	1526
159	432	1012	510
160	982	516	24
161	1049	581	5323
162	243	824	1378
163	580	112	1714
164	405	985	483
165	508	42	1640
166	488	22	568
167	294	875	1429
168	314	895	1451
169	143	723	223
170	21	600	100
171	885	419	2019
172	417	997	499
173	761	293	1893
174	138	709	2306
175	232	812	312
176	1026	558	67
177	95	675	175
178	224	803	1357
179	401	981	481
180	102	681	1235
181	134	712	214
182	265	844	344
183	515	47	1647
184	416	997	1551
185	1001	535	44
186	885	419	2019
187	60	638	1193
188	621	153	1753
189	123	703	206
190	741	275	819
191	185	764	2365
192	666	200	744
193	921	454	3
194	151	730	1284
195	479	11	1613
196	288	868	366
197	69	643	149
198	369	947	1502
199	959	493	2093
200	359	938	1492
201	655	189	735
202	349	930	2529
203	1003	534	44
204	78	658	158
205	95	673	1230
206	376	955	455
207	177	755	255
208	144	723	1277
209	104	685	1239
210	226	806	304
211	890	450	968
212	773	304	851
213	106	681	185
214	172	752	250
215	891	438	969
216	668	202	1804
217	914	448	2046
218	279	857	357
219	972	506	2106
220	863	397	1997
221	260	840	342
222	123	702	1258
223	324	904	404
224	97	676	1230
225	153	1133	1288
226	62	640	140
227	416	994	494
228	385	963	465
229	548	80	1682
230	473	7	553
231	687	221	767
232	87	665	165
233	783	315	1915
234	1031	564	74
235	928	461	3
236	9	586	1140
237	620	153	1753
238	65	645	145
239	884	417	964
240	219	799	1352
241	245	825	325
242	74	654	154
243	773	307	853
244	767	301	1901
245	878	411	956
246	1023	555	65
247	803	336	881
248	644	176	722
249	189	773	1324
250	779	313	859
251	215	793	293
252	697	228	1830
253	1005	537	1085
254	356	934	434
255	312	890	390
256	963	497	5
257	972	503	2105
258	816	350	1948
259	335	915	1470
